"Employee_ID";"Org_Name";"Country";"Org_Level";"Start_Date";"End_Date";"Org_Ref_ID"
120101,00;"Patrick Lu";"AU";1,00;1/7/1999 00:00:00;31/12/9999 00:00:00;11010101,00
120102,00;"Tom Zhou";"AU";1,00;1/6/1985 00:00:00;31/12/9999 00:00:00;11010101,00
120103,00;"Wilson Dawes";"AU";1,00;1/1/1970 00:00:00;31/12/9999 00:00:00;11010101,00
120104,00;"Kareen Billington";"AU";1,00;1/1/1977 00:00:00;31/12/9999 00:00:00;12010101,00
120105,00;"Liz Povey";"AU";1,00;1/5/1995 00:00:00;31/12/9999 00:00:00;12010101,00
120106,00;"John Hornsey";"AU";1,00;1/1/1970 00:00:00;31/12/9999 00:00:00;12010101,00
120107,00;"Sherie Sheedy";"AU";1,00;1/2/1970 00:00:00;31/12/9999 00:00:00;12010102,00
120108,00;"Gladys Gromek";"AU";1,00;1/8/2002 00:00:00;31/12/9999 00:00:00;12010201,00
120109,00;"Gabriele Baker";"AU";1,00;1/10/2002 00:00:00;31/12/9999 00:00:00;12010201,00
120110,00;"Dennis Entwisle";"AU";1,00;1/11/1975 00:00:00;31/12/9999 00:00:00;12010201,00
120111,00;"Ubaldo Spillane";"AU";1,00;1/11/1970 00:00:00;31/12/9999 00:00:00;12010301,00
120112,00;"Ellis Glattback";"AU";1,00;1/7/1986 00:00:00;31/12/9999 00:00:00;12010301,00
120113,00;"Riu Horsey";"AU";1,00;1/1/1970 00:00:00;31/12/9999 00:00:00;12010301,00
120114,00;"Jeannette Buddery";"AU";1,00;1/1/1970 00:00:00;31/12/9999 00:00:00;12010301,00
120115,00;"Hugh Nichollas";"AU";1,00;1/8/2001 00:00:00;31/12/9999 00:00:00;12010401,00
120116,00;"Austen Ralston";"AU";1,00;1/2/1976 00:00:00;31/12/9999 00:00:00;12010401,00
120117,00;"Bill Mccleary";"AU";1,00;1/4/1982 00:00:00;31/12/9999 00:00:00;12020101,00
120118,00;"Darshi Hartshorn";"AU";1,00;1/7/1980 00:00:00;31/12/9999 00:00:00;12020101,00
120119,00;"Lal Elleman";"AU";1,00;1/1/1994 00:00:00;31/12/9999 00:00:00;12020102,00
120120,00;"Krishna Peiris";"AU";1,00;1/1/1970 00:00:00;31/12/9999 00:00:00;12020102,00
